Category,Activity_Description,Spend_Amount,Spend_Currency,Emission_Factor,CO2e_Tonnes,Date,Supplier,Category_Details,Data_Quality
Category 13,Packaging Materials,65067.34,USD,1.452,94.48,2024-09-15,PackagePro Ltd,Scope 3 emissions category,Proxy data
Category 9,Product Use Phase,212145.83,USD,0.675,143.2,2024-09-15,OfficeMax,Scope 3 emissions category,Proxy data
Category 7,IT Hardware,219611.94,USD,1.577,346.33,2024-02-15,OfficeMax,Scope 3 emissions category,Secondary data
Category 2,IT Hardware,11496.1,USD,1.684,19.36,2024-10-15,OfficeMax,Scope 3 emissions category,Primary data
Category 2,Raw Materials - Steel,115241.95,USD,2.721,313.57,2024-06-15,MetalSupply Co,Scope 3 emissions category,Hybrid approach
Category 4,Manufacturing Equipment,334819.91,USD,0.682,228.35,2024-03-15,WasteManagement Co,Scope 3 emissions category,Secondary data
Category 13,Employee Commuting,403941.0,USD,0.612,247.21,2024-02-15,Corporate Travel,Scope 3 emissions category,Proxy data
Category 7,Business Travel - Air,234045.31,USD,2.201,515.13,2024-11-15,MetalSupply Co,Scope 3 emissions category,Primary data
Category 7,IT Hardware,400495.66,USD,0.372,148.98,2024-04-15,OfficeMax,Scope 3 emissions category,Hybrid approach
Category 8,Packaging Materials,211518.94,USD,0.872,184.44,2024-04-15,MetalSupply Co,Scope 3 emissions category,Industry average
Category 13,Inbound Logistics - Truck,49856.46,USD,1.974,98.42,2024-09-15,SteelCorp Inc,Scope 3 emissions category,Primary data
Category 15,Office Supplies,83989.24,USD,1.483,124.56,2024-04-15,Corporate Travel,Scope 3 emissions category,Primary data
Category 3,Business Travel - Air,2075.53,USD,1.202,2.49,2024-08-15,TechEquip Corp,Scope 3 emissions category,Industry average
Category 12,Inbound Logistics - Truck,331273.78,USD,1.486,492.27,2024-04-15,TechEquip Corp,Scope 3 emissions category,Secondary data
Category 1,Product Use Phase,368132.85,USD,0.23,84.67,2024-06-15,SteelCorp Inc,Scope 3 emissions category,Primary data
Category 10,Employee Commuting,251922.34,USD,2.566,646.43,2024-03-15,SteelCorp Inc,Scope 3 emissions category,Hybrid approach
Category 2,Packaging Materials,35192.15,USD,0.25,8.8,2024-04-15,Corporate Travel,Scope 3 emissions category,Primary data
Category 15,Product Use Phase,123861.46,USD,1.804,223.45,2024-10-15,MetalSupply Co,Scope 3 emissions category,Industry average
Category 11,Product Use Phase,283048.23,USD,0.983,278.24,2024-05-15,OfficeMax,Scope 3 emissions category,Proxy data
Category 4,Manufacturing Equipment,198497.14,USD,2.031,403.15,2024-05-15,WasteManagement Co,Scope 3 emissions category,Proxy data
Category 15,Raw Materials - Aluminum,5648.41,USD,1.882,10.63,2024-10-15,MetalSupply Co,Scope 3 emissions category,Primary data
Category 9,Office Supplies,253436.46,USD,0.441,111.77,2024-06-15,MetalSupply Co,Scope 3 emissions category,Secondary data
Category 6,Manufacturing Equipment,79715.67,USD,2.51,200.09,2024-12-15,TechEquip Corp,Scope 3 emissions category,Hybrid approach
Category 13,Inbound Logistics - Truck,4903.73,USD,2.46,12.06,2024-05-15,MetalSupply Co,Scope 3 emissions category,Secondary data
Category 5,Raw Materials - Aluminum,444966.64,USD,2.24,996.73,2024-03-15,TechEquip Corp,Scope 3 emissions category,Proxy data
Category 10,Office Supplies,359088.48,USD,0.651,233.77,2024-11-15,TechEquip Corp,Scope 3 emissions category,Hybrid approach
Category 8,Manufacturing Equipment,452762.91,USD,2.546,1152.73,2024-02-15,Corporate Travel,Scope 3 emissions category,Proxy data
Category 1,Raw Materials - Steel,167444.71,USD,0.436,73.01,2024-05-15,PackagePro Ltd,Scope 3 emissions category,Industry average
Category 9,Business Travel - Air,280892.53,USD,0.38,106.74,2024-12-15,PackagePro Ltd,Scope 3 emissions category,Hybrid approach
Category 1,IT Hardware,291672.27,USD,0.487,142.04,2024-03-15,SteelCorp Inc,Scope 3 emissions category,Proxy data
Category 6,Raw Materials - Steel,449563.39,USD,0.67,301.21,2024-04-15,MetalSupply Co,Scope 3 emissions category,Proxy data
Category 13,Inbound Logistics - Truck,442183.22,USD,1.249,552.29,2024-10-15,PackagePro Ltd,Scope 3 emissions category,Secondary data
Category 14,Packaging Materials,488126.81,USD,2.442,1192.01,2024-07-15,SteelCorp Inc,Scope 3 emissions category,Secondary data
Category 12,IT Hardware,391410.86,USD,1.265,495.13,2024-11-15,OfficeMax,Scope 3 emissions category,Proxy data
Category 3,Raw Materials - Aluminum,191888.32,USD,0.164,31.47,2024-08-15,OfficeMax,Scope 3 emissions category,Secondary data
Category 14,Employee Commuting,175479.55,USD,2.471,433.61,2024-04-15,OfficeMax,Scope 3 emissions category,Primary data
Category 11,Office Supplies,199834.52,USD,0.872,174.26,2024-02-15,TechEquip Corp,Scope 3 emissions category,Proxy data
Category 11,Inbound Logistics - Truck,200439.51,USD,2.944,590.09,2024-09-15,LogisticsPro,Scope 3 emissions category,Primary data
Category 2,Manufacturing Equipment,90105.34,USD,2.889,260.31,2024-05-15,SteelCorp Inc,Scope 3 emissions category,Primary data
Category 10,Business Travel - Air,173497.87,USD,2.37,411.19,2024-07-15,MetalSupply Co,Scope 3 emissions category,Industry average
Category 15,Product Use Phase,95849.31,USD,0.181,17.35,2024-07-15,SteelCorp Inc,Scope 3 emissions category,Hybrid approach
Category 15,Inbound Logistics - Truck,343741.72,USD,2.824,970.73,2024-12-15,OfficeMax,Scope 3 emissions category,Proxy data
Category 7,Raw Materials - Aluminum,474488.37,USD,2.766,1312.43,2024-10-15,LogisticsPro,Scope 3 emissions category,Primary data
Category 12,Manufacturing Equipment,254054.13,USD,2.017,512.43,2024-06-15,Corporate Travel,Scope 3 emissions category,Proxy data
Category 9,Packaging Materials,96728.21,USD,2.012,194.62,2024-07-15,PackagePro Ltd,Scope 3 emissions category,Hybrid approach
Category 10,Manufacturing Equipment,203631.51,USD,2.509,510.91,2024-05-15,TechEquip Corp,Scope 3 emissions category,Secondary data
Category 7,Product Use Phase,303724.12,USD,1.001,304.03,2024-08-15,WasteManagement Co,Scope 3 emissions category,Secondary data
Category 9,Employee Commuting,397073.96,USD,2.882,1144.37,2024-12-15,PackagePro Ltd,Scope 3 emissions category,Primary data
Category 5,Inbound Logistics - Truck,332263.06,USD,1.877,623.66,2024-02-15,OfficeMax,Scope 3 emissions category,Proxy data
Category 4,Office Supplies,74529.63,USD,0.186,13.86,2024-08-15,MetalSupply Co,Scope 3 emissions category,Industry average
Category 7,Product Use Phase,98023.18,USD,2.104,206.24,2024-08-15,Corporate Travel,Scope 3 emissions category,Secondary data
Category 3,Raw Materials - Steel,446437.25,USD,2.588,1155.38,2024-02-15,Corporate Travel,Scope 3 emissions category,Secondary data
Category 3,Inbound Logistics - Truck,232810.39,USD,1.694,394.38,2024-02-15,WasteManagement Co,Scope 3 emissions category,Secondary data
Category 13,Employee Commuting,334121.29,USD,2.964,990.34,2024-10-15,LogisticsPro,Scope 3 emissions category,Industry average
Category 10,Inbound Logistics - Truck,213943.64,USD,2.725,583.0,2024-08-15,PackagePro Ltd,Scope 3 emissions category,Industry average
Category 8,Manufacturing Equipment,376136.62,USD,2.528,950.87,2024-05-15,WasteManagement Co,Scope 3 emissions category,Secondary data
Category 5,Employee Commuting,39664.19,USD,0.893,35.42,2024-05-15,LogisticsPro,Scope 3 emissions category,Proxy data
Category 15,Inbound Logistics - Truck,41208.25,USD,0.495,20.4,2024-07-15,PackagePro Ltd,Scope 3 emissions category,Secondary data
Category 2,Business Travel - Air,204392.09,USD,1.651,337.45,2024-07-15,SteelCorp Inc,Scope 3 emissions category,Secondary data
Category 14,Business Travel - Air,195348.93,USD,2.321,453.4,2024-12-15,SteelCorp Inc,Scope 3 emissions category,Hybrid approach
Category 7,Employee Commuting,3942.15,USD,1.088,4.29,2024-07-15,Corporate Travel,Scope 3 emissions category,Hybrid approach
Category 12,Inbound Logistics - Truck,400134.22,USD,2.699,1079.96,2024-08-15,OfficeMax,Scope 3 emissions category,Proxy data
Category 7,Employee Commuting,15483.39,USD,1.042,16.13,2024-11-15,Corporate Travel,Scope 3 emissions category,Secondary data
Category 14,Employee Commuting,459851.27,USD,2.943,1353.34,2024-09-15,SteelCorp Inc,Scope 3 emissions category,Industry average
Category 10,Product Use Phase,331836.88,USD,0.298,98.89,2024-07-15,PackagePro Ltd,Scope 3 emissions category,Industry average
Category 3,Raw Materials - Steel,130818.0,USD,1.016,132.91,2024-08-15,LogisticsPro,Scope 3 emissions category,Proxy data
Category 13,Business Travel - Air,139850.05,USD,2.856,399.41,2024-07-15,TechEquip Corp,Scope 3 emissions category,Primary data
Category 8,Raw Materials - Steel,374763.11,USD,0.204,76.45,2024-06-15,OfficeMax,Scope 3 emissions category,Primary data
Category 13,Raw Materials - Steel,377362.37,USD,2.851,1075.86,2024-04-15,SteelCorp Inc,Scope 3 emissions category,Hybrid approach
Category 3,Office Supplies,63984.27,USD,2.025,129.57,2024-10-15,OfficeMax,Scope 3 emissions category,Industry average
Category 12,Manufacturing Equipment,383682.15,USD,0.545,209.11,2024-10-15,MetalSupply Co,Scope 3 emissions category,Secondary data
Category 5,Raw Materials - Aluminum,289763.68,USD,2.79,808.44,2024-10-15,Corporate Travel,Scope 3 emissions category,Industry average
Category 12,Office Supplies,38922.24,USD,2.087,81.23,2024-11-15,OfficeMax,Scope 3 emissions category,Primary data
Category 12,Manufacturing Equipment,425296.33,USD,1.821,774.46,2024-02-15,SteelCorp Inc,Scope 3 emissions category,Proxy data
Category 9,Business Travel - Air,331099.15,USD,0.253,83.77,2024-11-15,LogisticsPro,Scope 3 emissions category,Primary data
Category 14,Business Travel - Air,411343.13,USD,0.361,148.49,2024-06-15,WasteManagement Co,Scope 3 emissions category,Secondary data
Category 7,Packaging Materials,367163.86,USD,2.898,1064.04,2024-05-15,WasteManagement Co,Scope 3 emissions category,Industry average
Category 7,Product Use Phase,134929.37,USD,2.563,345.82,2024-02-15,TechEquip Corp,Scope 3 emissions category,Industry average
Category 4,Employee Commuting,285354.97,USD,2.021,576.7,2024-06-15,SteelCorp Inc,Scope 3 emissions category,Industry average
Category 14,IT Hardware,91738.09,USD,0.676,62.01,2024-05-15,LogisticsPro,Scope 3 emissions category,Proxy data
Category 15,Product Use Phase,350890.69,USD,0.865,303.52,2024-01-15,OfficeMax,Scope 3 emissions category,Primary data
Category 4,Business Travel - Air,244800.35,USD,2.287,559.86,2024-12-15,WasteManagement Co,Scope 3 emissions category,Industry average
Category 8,Raw Materials - Steel,47433.62,USD,0.704,33.39,2024-12-15,OfficeMax,Scope 3 emissions category,Proxy data
Category 11,Product Use Phase,185141.2,USD,1.683,311.59,2024-06-15,Corporate Travel,Scope 3 emissions category,Hybrid approach
Category 6,IT Hardware,351724.62,USD,0.849,298.61,2024-05-15,OfficeMax,Scope 3 emissions category,Primary data
Category 12,Office Supplies,158458.42,USD,2.241,355.11,2024-12-15,PackagePro Ltd,Scope 3 emissions category,Secondary data
Category 4,Employee Commuting,138973.31,USD,1.789,248.62,2024-09-15,TechEquip Corp,Scope 3 emissions category,Primary data
Category 14,Office Supplies,148826.99,USD,1.115,165.94,2024-05-15,SteelCorp Inc,Scope 3 emissions category,Hybrid approach
Category 3,Manufacturing Equipment,23712.33,USD,0.211,5.0,2024-05-15,PackagePro Ltd,Scope 3 emissions category,Industry average
Category 2,Raw Materials - Steel,287458.05,USD,1.435,412.5,2024-08-15,LogisticsPro,Scope 3 emissions category,Secondary data
Category 1,Manufacturing Equipment,470590.73,USD,1.459,686.59,2024-02-15,Corporate Travel,Scope 3 emissions category,Industry average
Category 2,Product Use Phase,315093.41,USD,0.208,65.54,2024-03-15,TechEquip Corp,Scope 3 emissions category,Primary data
Category 4,Raw Materials - Aluminum,279478.44,USD,1.278,357.17,2024-10-15,OfficeMax,Scope 3 emissions category,Hybrid approach
Category 7,Employee Commuting,454343.68,USD,0.927,421.18,2024-10-15,Corporate Travel,Scope 3 emissions category,Proxy data
Category 10,Product Use Phase,31054.92,USD,2.882,89.5,2024-02-15,OfficeMax,Scope 3 emissions category,Secondary data
Category 5,Raw Materials - Aluminum,79371.49,USD,0.563,44.69,2024-02-15,PackagePro Ltd,Scope 3 emissions category,Primary data
Category 7,Employee Commuting,344996.2,USD,1.436,495.41,2024-01-15,OfficeMax,Scope 3 emissions category,Proxy data
Category 12,Manufacturing Equipment,351790.79,USD,1.389,488.64,2024-11-15,OfficeMax,Scope 3 emissions category,Proxy data
Category 13,Product Use Phase,330930.34,USD,2.804,927.93,2024-07-15,MetalSupply Co,Scope 3 emissions category,Hybrid approach
Category 4,Packaging Materials,454297.31,USD,2.489,1130.75,2024-02-15,SteelCorp Inc,Scope 3 emissions category,Secondary data
Category 13,Manufacturing Equipment,297926.97,USD,2.482,739.45,2024-05-15,WasteManagement Co,Scope 3 emissions category,Primary data
Category 8,Manufacturing Equipment,350167.11,USD,2.831,991.32,2024-09-15,WasteManagement Co,Scope 3 emissions category,Industry average
Category 2,Product Use Phase,20890.53,USD,1.324,27.66,2024-06-15,TechEquip Corp,Scope 3 emissions category,Primary data
Category 2,Office Supplies,480993.64,USD,2.516,1210.18,2024-10-15,SteelCorp Inc,Scope 3 emissions category,Proxy data
Category 10,Raw Materials - Steel,381791.39,USD,0.567,216.48,2024-09-15,WasteManagement Co,Scope 3 emissions category,Proxy data
Category 3,Product Use Phase,218506.61,USD,2.452,535.78,2024-02-15,WasteManagement Co,Scope 3 emissions category,Proxy data
Category 7,IT Hardware,161208.07,USD,0.359,57.87,2024-03-15,LogisticsPro,Scope 3 emissions category,Industry average
Category 12,Employee Commuting,144820.68,USD,2.838,411.0,2024-09-15,SteelCorp Inc,Scope 3 emissions category,Industry average
Category 2,IT Hardware,126947.03,USD,0.392,49.76,2024-07-15,SteelCorp Inc,Scope 3 emissions category,Hybrid approach
Category 8,Business Travel - Air,28047.84,USD,1.579,44.29,2024-10-15,WasteManagement Co,Scope 3 emissions category,Industry average
Category 13,Raw Materials - Steel,102575.56,USD,1.67,171.3,2024-05-15,WasteManagement Co,Scope 3 emissions category,Industry average
Category 2,Raw Materials - Steel,486600.26,USD,1.846,898.26,2024-04-15,PackagePro Ltd,Scope 3 emissions category,Proxy data
Category 9,Raw Materials - Steel,276573.45,USD,0.325,89.89,2024-02-15,WasteManagement Co,Scope 3 emissions category,Primary data
Category 11,Packaging Materials,249689.38,USD,2.164,540.33,2024-09-15,TechEquip Corp,Scope 3 emissions category,Industry average
Category 14,Employee Commuting,490142.07,USD,0.769,376.92,2024-09-15,PackagePro Ltd,Scope 3 emissions category,Industry average
Category 4,Product Use Phase,254612.2,USD,2.644,673.19,2024-02-15,TechEquip Corp,Scope 3 emissions category,Industry average
Category 6,Inbound Logistics - Truck,134319.16,USD,0.058,7.79,2024-12-15,TechEquip Corp,Scope 3 emissions category,Hybrid approach
Category 10,Employee Commuting,432765.04,USD,1.367,591.59,2024-08-15,LogisticsPro,Scope 3 emissions category,Proxy data
Category 9,Inbound Logistics - Truck,189227.82,USD,2.802,530.22,2024-04-15,OfficeMax,Scope 3 emissions category,Hybrid approach
Category 7,Office Supplies,428150.48,USD,1.262,540.33,2024-06-15,WasteManagement Co,Scope 3 emissions category,Industry average
Category 7,Packaging Materials,248169.0,USD,0.159,39.46,2024-09-15,LogisticsPro,Scope 3 emissions category,Primary data
Category 14,Employee Commuting,50756.14,USD,2.736,138.87,2024-01-15,PackagePro Ltd,Scope 3 emissions category,Industry average
Category 14,Packaging Materials,38339.3,USD,2.355,90.29,2024-05-15,LogisticsPro,Scope 3 emissions category,Hybrid approach
Category 12,Business Travel - Air,325268.49,USD,2.563,833.66,2024-11-15,Corporate Travel,Scope 3 emissions category,Proxy data
Category 11,Employee Commuting,436319.13,USD,0.156,68.07,2024-02-15,OfficeMax,Scope 3 emissions category,Proxy data
Category 4,Raw Materials - Aluminum,217551.76,USD,0.34,73.97,2024-11-15,MetalSupply Co,Scope 3 emissions category,Industry average
Category 3,Manufacturing Equipment,451808.61,USD,0.186,84.04,2024-01-15,TechEquip Corp,Scope 3 emissions category,Proxy data
Category 6,Business Travel - Air,73639.33,USD,1.617,119.07,2024-10-15,PackagePro Ltd,Scope 3 emissions category,Secondary data
Category 3,Raw Materials - Aluminum,305136.4,USD,1.179,359.76,2024-11-15,OfficeMax,Scope 3 emissions category,Industry average
Category 15,Product Use Phase,72415.74,USD,1.41,102.11,2024-05-15,WasteManagement Co,Scope 3 emissions category,Proxy data
Category 11,Raw Materials - Steel,449555.36,USD,1.422,639.27,2024-05-15,PackagePro Ltd,Scope 3 emissions category,Primary data
Category 8,IT Hardware,493838.2,USD,0.933,460.75,2024-07-15,TechEquip Corp,Scope 3 emissions category,Industry average
Category 14,Manufacturing Equipment,100409.28,USD,1.185,118.98,2024-08-15,MetalSupply Co,Scope 3 emissions category,Secondary data
Category 7,Product Use Phase,180120.62,USD,0.923,166.25,2024-12-15,TechEquip Corp,Scope 3 emissions category,Primary data
Category 14,Business Travel - Air,137965.71,USD,1.719,237.16,2024-11-15,SteelCorp Inc,Scope 3 emissions category,Hybrid approach
Category 12,Employee Commuting,416586.61,USD,2.714,1130.62,2024-04-15,LogisticsPro,Scope 3 emissions category,Secondary data
Category 11,Office Supplies,310824.69,USD,2.049,636.88,2024-12-15,PackagePro Ltd,Scope 3 emissions category,Primary data
Category 15,Raw Materials - Steel,155157.51,USD,1.35,209.46,2024-10-15,LogisticsPro,Scope 3 emissions category,Secondary data
Category 2,Manufacturing Equipment,164032.84,USD,1.276,209.31,2024-04-15,PackagePro Ltd,Scope 3 emissions category,Hybrid approach
Category 15,IT Hardware,265895.33,USD,2.745,729.88,2024-03-15,TechEquip Corp,Scope 3 emissions category,Industry average
Category 13,Manufacturing Equipment,373533.12,USD,1.049,391.84,2024-02-15,WasteManagement Co,Scope 3 emissions category,Primary data
Category 3,Office Supplies,430210.16,USD,2.186,940.44,2024-07-15,LogisticsPro,Scope 3 emissions category,Primary data
Category 13,Business Travel - Air,7945.41,USD,1.633,12.97,2024-08-15,LogisticsPro,Scope 3 emissions category,Proxy data
Category 10,Business Travel - Air,411386.23,USD,2.824,1161.75,2024-02-15,OfficeMax,Scope 3 emissions category,Industry average
Category 1,Product Use Phase,442233.19,USD,1.706,754.45,2024-10-15,OfficeMax,Scope 3 emissions category,Primary data
Category 11,Employee Commuting,454784.43,USD,0.941,427.95,2024-07-15,MetalSupply Co,Scope 3 emissions category,Secondary data
Category 1,Raw Materials - Steel,152877.93,USD,1.503,229.78,2024-02-15,OfficeMax,Scope 3 emissions category,Hybrid approach
Category 3,Business Travel - Air,227368.23,USD,2.028,461.1,2024-12-15,Corporate Travel,Scope 3 emissions category,Hybrid approach
Category 12,Packaging Materials,442821.48,USD,1.982,877.67,2024-08-15,Corporate Travel,Scope 3 emissions category,Proxy data
Category 1,IT Hardware,109417.57,USD,1.362,149.03,2024-04-15,LogisticsPro,Scope 3 emissions category,Primary data
Category 11,IT Hardware,272688.46,USD,2.935,800.34,2024-06-15,SteelCorp Inc,Scope 3 emissions category,Industry average
Category 5,Office Supplies,484135.23,USD,2.85,1379.79,2024-08-15,MetalSupply Co,Scope 3 emissions category,Secondary data
Category 11,Product Use Phase,485575.56,USD,0.199,96.63,2024-06-15,OfficeMax,Scope 3 emissions category,Secondary data
Category 13,Product Use Phase,103397.58,USD,2.498,258.29,2024-09-15,OfficeMax,Scope 3 emissions category,Hybrid approach
Category 4,Office Supplies,164951.22,USD,0.485,80.0,2024-10-15,SteelCorp Inc,Scope 3 emissions category,Proxy data
Category 14,Packaging Materials,493776.12,USD,1.644,811.77,2024-03-15,MetalSupply Co,Scope 3 emissions category,Primary data
Category 3,Raw Materials - Steel,179762.9,USD,2.376,427.12,2024-10-15,LogisticsPro,Scope 3 emissions category,Primary data
Category 3,Manufacturing Equipment,27147.11,USD,2.238,60.76,2024-09-15,MetalSupply Co,Scope 3 emissions category,Primary data
Category 8,Employee Commuting,389230.5,USD,1.564,608.76,2024-02-15,WasteManagement Co,Scope 3 emissions category,Hybrid approach
Category 4,Product Use Phase,22639.15,USD,2.361,53.45,2024-11-15,TechEquip Corp,Scope 3 emissions category,Industry average
Category 11,Raw Materials - Steel,31351.88,USD,1.463,45.87,2024-07-15,Corporate Travel,Scope 3 emissions category,Primary data
Category 8,Employee Commuting,37671.87,USD,0.288,10.85,2024-10-15,PackagePro Ltd,Scope 3 emissions category,Primary data
Category 3,Manufacturing Equipment,312534.43,USD,1.777,555.37,2024-12-15,LogisticsPro,Scope 3 emissions category,Industry average
Category 10,Inbound Logistics - Truck,148153.98,USD,1.541,228.31,2024-07-15,MetalSupply Co,Scope 3 emissions category,Primary data
Category 14,Inbound Logistics - Truck,360699.12,USD,0.684,246.72,2024-08-15,OfficeMax,Scope 3 emissions category,Industry average
Category 6,Employee Commuting,199966.36,USD,2.202,440.33,2024-06-15,Corporate Travel,Scope 3 emissions category,Proxy data
Category 11,Manufacturing Equipment,187776.21,USD,0.5,93.89,2024-08-15,MetalSupply Co,Scope 3 emissions category,Primary data
Category 14,Raw Materials - Aluminum,47521.82,USD,0.335,15.92,2024-12-15,LogisticsPro,Scope 3 emissions category,Secondary data
Category 9,Raw Materials - Steel,293646.08,USD,1.707,501.25,2024-06-15,MetalSupply Co,Scope 3 emissions category,Industry average
Category 6,Business Travel - Air,434177.98,USD,2.177,945.21,2024-05-15,TechEquip Corp,Scope 3 emissions category,Proxy data
Category 2,Product Use Phase,254198.86,USD,0.506,128.62,2024-08-15,OfficeMax,Scope 3 emissions category,Primary data
Category 6,Inbound Logistics - Truck,184412.96,USD,2.3,424.15,2024-10-15,OfficeMax,Scope 3 emissions category,Industry average
Category 14,Inbound Logistics - Truck,487298.75,USD,2.464,1200.7,2024-10-15,SteelCorp Inc,Scope 3 emissions category,Hybrid approach
Category 15,Manufacturing Equipment,15447.64,USD,0.856,13.22,2024-05-15,LogisticsPro,Scope 3 emissions category,Proxy data
Category 1,Packaging Materials,435061.49,USD,1.721,748.74,2024-07-15,MetalSupply Co,Scope 3 emissions category,Secondary data
Category 12,Raw Materials - Steel,46787.08,USD,1.615,75.56,2024-07-15,Corporate Travel,Scope 3 emissions category,Industry average
Category 6,Packaging Materials,185656.49,USD,2.179,404.55,2024-10-15,MetalSupply Co,Scope 3 emissions category,Primary data
Category 3,Packaging Materials,377463.5,USD,0.197,74.36,2024-02-15,TechEquip Corp,Scope 3 emissions category,Industry average
Category 11,Business Travel - Air,243345.19,USD,1.354,329.49,2024-05-15,OfficeMax,Scope 3 emissions category,Hybrid approach
Category 2,IT Hardware,215526.9,USD,0.886,190.96,2024-11-15,WasteManagement Co,Scope 3 emissions category,Hybrid approach
Category 11,Manufacturing Equipment,23663.26,USD,1.216,28.77,2024-10-15,SteelCorp Inc,Scope 3 emissions category,Primary data
Category 4,Manufacturing Equipment,472716.72,USD,2.314,1093.87,2024-05-15,TechEquip Corp,Scope 3 emissions category,Proxy data
Category 2,Raw Materials - Steel,249195.28,USD,1.32,328.94,2024-03-15,Corporate Travel,Scope 3 emissions category,Hybrid approach
Category 12,Office Supplies,250630.91,USD,2.508,628.58,2024-06-15,MetalSupply Co,Scope 3 emissions category,Industry average
Category 14,Raw Materials - Steel,218673.58,USD,1.406,307.46,2024-02-15,LogisticsPro,Scope 3 emissions category,Hybrid approach
Category 7,Product Use Phase,202807.02,USD,1.938,393.04,2024-05-15,MetalSupply Co,Scope 3 emissions category,Industry average
Category 1,IT Hardware,86764.72,USD,2.845,246.85,2024-08-15,LogisticsPro,Scope 3 emissions category,Primary data
Category 7,Raw Materials - Aluminum,122414.92,USD,1.787,218.76,2024-09-15,MetalSupply Co,Scope 3 emissions category,Industry average
Category 14,Manufacturing Equipment,373156.61,USD,0.704,262.7,2024-03-15,MetalSupply Co,Scope 3 emissions category,Hybrid approach
Category 11,Raw Materials - Aluminum,265771.81,USD,0.622,165.31,2024-06-15,LogisticsPro,Scope 3 emissions category,Secondary data
Category 4,Raw Materials - Aluminum,74075.66,USD,0.632,46.82,2024-10-15,PackagePro Ltd,Scope 3 emissions category,Primary data
Category 3,Employee Commuting,232512.58,USD,1.713,398.29,2024-10-15,WasteManagement Co,Scope 3 emissions category,Hybrid approach
Category 11,Product Use Phase,162280.91,USD,2.914,472.89,2024-06-15,PackagePro Ltd,Scope 3 emissions category,Industry average
Category 2,Employee Commuting,221661.82,USD,0.943,209.03,2024-05-15,SteelCorp Inc,Scope 3 emissions category,Proxy data
Category 9,Raw Materials - Aluminum,155893.52,USD,1.383,215.6,2024-01-15,LogisticsPro,Scope 3 emissions category,Proxy data
